Total score,How aware are you of the context?,How aware are you of the context? [Score],How aware are you of the context? [Feedback],Do you think the image given above is a deepfake?,Do you think the image given above is a deepfake? [Score],Do you think the image given above is a deepfake? [Feedback],How aware are you of the context?,How aware are you of the context? [Score],How aware are you of the context? [Feedback],Do you think the image given above is a deepfake?,Do you think the image given above is a deepfake? [Score],Do you think the image given above is a deepfake? [Feedback],How aware are you of the context?,How aware are you of the context? [Score],How aware are you of the context? [Feedback],Do you think the image given above is a deepfake?,Do you think the image given above is a deepfake? [Score],Do you think the image given above is a deepfake? [Feedback],How aware are you of the context?,How aware are you of the context? [Score],How aware are you of the context? [Feedback],Do you think the image given above is a deepfake?,Do you think the image given above is a deepfake? [Score],Do you think the image given above is a deepfake? [Feedback],How aware are you of the context?,How aware are you of the context? [Score],How aware are you of the context? [Feedback],Do you think the image given above is a deepfake?,Do you think the image given above is a deepfake? [Score],Do you think the image given above is a deepfake? [Feedback],How aware are you of the context?,How aware are you of the context? [Score],How aware are you of the context? [Feedback],Do you think the image given above is a deepfake?,Do you think the image given above is a deepfake? [Score],Do you think the image given above is a deepfake? [Feedback],How aware are you of the context?,How aware are you of the context? [Score],How aware are you of the context? [Feedback],Do you think this is a deepfake?,Do you think this is a deepfake? [Score],Do you think this is a deepfake? [Feedback],How aware are you of the context?,How aware are you of the context? [Score],How aware are you of the context? [Feedback],Do you think this is a deepfake?,Do you think this is a deepfake? [Score],Do you think this is a deepfake? [Feedback],How aware are you of the context?,How aware are you of the context? [Score],How aware are you of the context? [Feedback],Do you think this is a deepfake?,Do you think this is a deepfake? [Score],Do you think this is a deepfake? [Feedback],How aware are you of the context?,How aware are you of the context? [Score],How aware are you of the context? [Feedback],Do you think this is a deepfake?,Do you think this is a deepfake? [Score],Do you think this is a deepfake? [Feedback],Do you think the use of deepfake technology should be regulated by law? Why or why not?,Do you think the use of deepfake technology should be regulated by law? Why or why not? [Score],Do you think the use of deepfake technology should be regulated by law? Why or why not? [Feedback],"In what situations (if any) do you believe deepfake technology can be ethically used? (e.g., entertainment, education, politics, etc.)  For example, by informing the users beforehand  and for societal benefits such as promoting harmony and unity.","In what situations (if any) do you believe deepfake technology can be ethically used? (e.g., entertainment, education, politics, etc.)  For example, by informing the users beforehand  and for societal benefits such as promoting harmony and unity. [Score]","In what situations (if any) do you believe deepfake technology can be ethically used? (e.g., entertainment, education, politics, etc.)  For example, by informing the users beforehand  and for societal benefits such as promoting harmony and unity. [Feedback]","Can deepfake technology be a tool for creativity and innovation, such as bringing historical figures to life for educational purposes or enhancing storytelling in films? Where do you draw the line between ethical and unethical use?","Can deepfake technology be a tool for creativity and innovation, such as bringing historical figures to life for educational purposes or enhancing storytelling in films? Where do you draw the line between ethical and unethical use? [Score]","Can deepfake technology be a tool for creativity and innovation, such as bringing historical figures to life for educational purposes or enhancing storytelling in films? Where do you draw the line between ethical and unethical use? [Feedback]","What could be some advantages  of using deepfakes, given a specific context? Give examples.","What could be some advantages  of using deepfakes, given a specific context? Give examples. [Score]","What could be some advantages  of using deepfakes, given a specific context? Give examples. [Feedback]",According to you what are some serious negative consequences of using deepfakes? Give examples.,According to you what are some serious negative consequences of using deepfakes? Give examples. [Score],According to you what are some serious negative consequences of using deepfakes? Give examples. [Feedback]
7.00 / 10,I am highly aware.,-- / 0,,No,0.00 / 1,,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,Yes,0.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware.,-- / 0,,Yes,0.00 / 1,,YES,-- / 0,,"For educational purposes, like reading out articles, for listening tests of languages",-- / 0,,yes ,-- / 0,,"we can reimagine old images or scriptures for better clarity and studying of art
",-- / 0,,it can severely affect people if used to defame an indivisual,-- / 0,
6.00 / 10,I am not aware.,-- / 0,,Yes,1.00 / 1,,i am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,No,0.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,0.00 / 1,,I am highly aware.,-- / 0,,Yes,0.00 / 1,,yes as it breaches privacy,-- / 0,,i dont believe it should be used,-- / 0,,yes it cam be done but it will still offend some people,-- / 0,,like using it in movies,-- / 0,,it will offend someone.like while deepfaking historical figure some extremist will say it is not right to deepfake them,-- / 0,
8.00 / 10,I am highly aware.,-- / 0,,No,0.00 / 1,,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,0.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,"I think that the use of deepfake technology should be regulated by law as it can be used for illicit purposes, spreading misinformation in the form of personalities and many other risks.",-- / 0,,Deepfake technology can be used in the posthumous performance of a dead or ill performeer in the case that they have given their consent. It should also be used in multimedia wherever needed with consent to save collective effort.,-- / 0,,Yes. I have drawn the line between ethical and unethical uses in my above answers.,-- / 0,,"The advantage of using deepfakes in the above context is to not stress any ill/dead performer and to save collective effort from the people who participate in creating videos, TV series and so on, wherever needed",-- / 0,,"People will accept misinformation as true when it is said by one of the personalities that they are in a voyeuristic relationship with, and then it can cause negative mental effects when a person's deepfakes goes against their actions or ideals and is hence not representative of them whereas the world has gotten to see otherwise.",-- / 0,
7.00 / 10,I am highly aware.,-- / 0,,No,0.00 / 1,,i am not aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,"yes. it does not give credit to the original, consumers dont know whats the truth or lie",-- / 0,,"non creative field, in mundane tasks",-- / 0,,"no they shouldnt. art is human, nothing else",-- / 0,,"faster mundane task completion in day to day life
",-- / 0,,no one knows whats the truth or false,-- / 0,
8.00 / 10,I am not aware.,-- / 0,,Yes,1.00 / 1,,I am highly aware.,-- / 0,,No,0.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware.,-- / 0,,Yes,0.00 / 1,,"it should be, for the why part, idk man it just feels like it",-- / 0,,education,-- / 0,,i draw the line at exact 5 units away from ethical use and 8 units from unethical use,-- / 0,,correcting old videos like 19th century type of ones ,-- / 0,,misuse,-- / 0,
7.00 / 10,I am highly aware.,-- / 0,,No,0.00 / 1,,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,Yes,0.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am highly aware.,-- / 0,,No,1.00 / 1,,yes should be regulated by government for some serious exams or tests to maintain transperency ,-- / 0,,for entertainment ,-- / 0,,yes it helps me laugh seeing gandhi memes ,-- / 0,,no idea ,-- / 0,,the real talent cannot be show cased by the industry thus a loss can be inccured by the industry,-- / 0,
6.00 / 10,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,Yes,0.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,Yes it should be regulated by law as the misuse probability of AI at this level is very high,-- / 0,,"it can be ethically used for education purposes as academically interested individuals can get a huge benefit in exploring , identifying and learning",-- / 0,,"it can be used for innovation , as long as AI is useful for the collective society as whole , it will be considered under ethical use of AI",-- / 0,,"it can be used in music industry , entertainment and educational purposes as tutoring platform , ott platforms etc",-- / 0,,"serious consequence can be misleading information , directing the mass to a wrong conclusion",-- / 0,
7.00 / 10,I am not aware.,-- / 0,,Yes,1.00 / 1,,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,0.00 / 1,,I am moderately aware,-- / 0,,Yes,0.00 / 1,,yes,-- / 0,,none,-- / 0,,yes,-- / 0,,the mentioned above one,-- / 0,,yes many,-- / 0,
9.00 / 10,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,"yes it should be regulated as it can be used to misguide, and portray something that's not actual and legitimate.",-- / 0,,"it can be used ethically in cases of education, entertainment industry(anime) to create something that is an imagination and bring it to reality.",-- / 0,,"yes it can be used to teach about history, it can be used to create better stories",-- / 0,,we can achieve what the human mind cannot imagine. we can use it to impart knowledge. we can use it against criminals to get out information.,-- / 0,,"people are misguided, they can be lured into mishaps and loss causations",-- / 0,
6.00 / 10,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,Yes,0.00 / 1,,I am highly aware,-- / 0,,Yes,0.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am highly aware.,-- / 0,,No,1.00 / 1,,"Yeah, it can be used to produce fake evidence",-- / 0,,"Yeah, maybe I'm not sure",-- / 0,,yes,-- / 0,,you have mentioned the use in the above question,-- / 0,,producing false evidence,-- / 0,
7.00 / 10,I am moderately aware.,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,Yes,0.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,Yes cause it can cause many security issues on personal level to Nation level.,-- / 0,,"It can be used to shoot stunts, dangerous acts, which can be harmful for actors to perform.",-- / 0,,"Yes, it is very interesting way for everyone to learn about historical figures.",-- / 0,,"It is cost effective, safety for human life.",-- / 0,,Yes,-- / 0,
7.00 / 10,I am moderately aware.,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,0.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware.,-- / 0,,Yes,0.00 / 1,,"Yes, deepfake technology should be legally regulated to prevent misuse, protect privacy, and stop misinformation.",-- / 0,,"Deepfake technology can be ethically used in entertainment, education, and accessibility—like movies, historical recreations, or teaching—if users are clearly informed and it serves a positive societal purpose.",-- / 0,,"Yes, deepfake technology can be a powerful tool for creativity and innovation—like bringing historical figures to life in classrooms, enhancing storytelling in films, or creating realistic simulations for training.

The line between ethical and unethical use is drawn based on consent, transparency, and intent:

Ethical: Clearly informing viewers, using it for education, art, or accessibility, and not harming anyone’s reputation.

Unethical: Deceiving people, spreading false information, or creating content without someone’s consent that could harm them.

In short, if it respects people and serves a positive purpose, it’s ethical; if it deceives or harms, it’s not.",-- / 0,,"Deepfakes can enhance education, entertainment, and accessibility, like showing historical figures teaching or bringing actors to life in films. They also allow realistic simulations for training and personalized content ethically.",-- / 0,,"Some serious negative consequences of deepfakes include spreading misinformation, damaging reputations, and committing fraud.
Example: Creating a fake video of a politician making controversial statements can mislead the public, or making non-consensual explicit content can harm someone personally and professionally",-- / 0,
8.00 / 10,I am moderately aware.,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,yes it should be regulated as it maybe misuse many times,-- / 0,,in education i think deepfake can be ethically else it should not as in politics someone can portrait prime minister can say false message to the world.,-- / 0,,"Yes, deepfake technology can be used creatively and innovatively in films and education, bringing historical figures to life or enhancing storytelling, but ethical boundaries are crucial. The line between ethical and unethical use is drawn based on consent, intent, and impact: ethical use involves clear consent and a positive intent, such as educational or artistic expression. Unethical use occurs when deepfakes are created without consent, are used for malicious purposes like misinformation or fraud, or cause harm to individuals' reputations or relationships",-- / 0,,"Deepfakes offer advantages in fields like media production, where they can create complex scenes with digital actors and bring historical figures back to life for artistic or educational purposes. In education, they can develop engaging historical re-enactments or language tools. For cybersecurity, deepfakes can generate synthetic data to protect original information or mislead attackers. ",-- / 0,,"Serious negative consequences of deepfakes include the spread of disinformation and propaganda, causing political instability and eroding public trust. They enable financial fraud and identity theft, such as impersonating executives to defraud companies or stealing personal financial information. ",-- / 0,
7.00 / 10,I am highly aware.,-- / 0,,No,0.00 / 1,,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,It should not be regulated as it is bound to spread misinformation and cause widespread confusion about credibility of information,-- / 0,,Using deepfake for audio in animations can be a useful usage if known in advance,-- / 0,,"Enhancing storytelling can be interesting way to use deepfake, but bringing back historical figures might not be very ethical",-- / 0,,Cutting costs is creating creative content,-- / 0,,Spread of misinformation among general masses and widespread confussion,-- / 0,
6.00 / 10,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am highly aware.,-- / 0,,No,0.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,0.00 / 1,,Yes I think it should be regulated,-- / 0,,It can be used for entertainment for eg there is a movie shoot and you dont have that much budget you can use a model's deepfake after his/her permission ,-- / 0,,Yes... using it for obscene stuff is intolerable,-- / 0,,It can be used for entertainment for eg there is a movie shoot and you dont have that much budget you can use a model's deepfake after his/her permission. It can be used for students to teach history in a animated way,-- / 0,,If we used it for generating false evidences in court cases,-- / 0,
6.00 / 10,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,Yes,0.00 / 1,,"Yes, It could be used for illegal activities if left unregulated.",-- / 0,,"Content creation, enternainment",-- / 0,,"Yes, The line is drawn when it is used for slander or misuse of these educational purposes.",-- / 0,,In content creation and educational purposes. As mentioned above it can be used to bring historic figures to life and simulate their behavior.,-- / 0,,"Loss of originality of content, Content creation becomes bland. If used inappropriately, It becomes a security risk especially for celebrities.",-- / 0,
5.00 / 10,I am moderately aware.,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,0.00 / 1,,I am moderately aware,-- / 0,,Yes,0.00 / 1,,yes it should be regulated as it is very powerfull,-- / 0,,deepfakes can be used to promote social harmony or we can use it to create personalized messages by celebrities ,-- / 0,,yeah it can be used to bring back for eg Einstein so as to generate curiosity in school children,-- / 0,,can be used on historical figures like Einstein to teach school children ,-- / 0,,it can be used to create questionable videos,-- / 0,
7.00 / 10,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,"Yes, otherwise anyone can use fake videos and defame anyone.",-- / 0,,"for entertainment purposes such as videos, movies, etc",-- / 0,,yes. unethical use is the defamation of anyone using this technology. otherwise it is ethical.,-- / 0,,in movies.,-- / 0,,defamation of someone or spreading of false information.,-- / 0,
5.00 / 10,I am moderately aware.,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am highly aware,-- / 0,,Yes,0.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,0.00 / 1,,"eYes.Even by the genral ouiblic, there is no utility because of the ill and misleading side effects to the society.",-- / 0,,no situation. not even education,-- / 0,,"no, better way is to enhance the teaching skills in school",-- / 0,,i can't think,-- / 0,,"Misleading content, increasing frauds",-- / 0,
8.00 / 10,I am highly aware.,-- / 0,,No,0.00 / 1,,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,Yes,0.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware.,-- / 0,,No,1.00 / 1,,"yes, unparallelled amount of propaganda and false news will be spread through this mean and as ai gets better and better it makes it insanely difficult for the consumer to identify whats real and whats fake",-- / 0,,deepfakes can be used in activities which require fictional creation. This will benefit both the consumer and producer.,-- / 0,,yes. it's ethical unless the deepfake is used to spread ideas and thoughts not created by the historical figures.,-- / 0,,no,-- / 0,,"politics and fake propaganda.
false allegations on people etc",-- / 0,
6.00 / 10,I am highly aware.,-- / 0,,Yes,1.00 / 1,,i am not aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,0.00 / 1,,yes its risky,-- / 0,,it cant be used ethically,-- / 0,,no it infringes copyrights,-- / 0,,none,-- / 0,,loss of protection of ip,-- / 0,
4.00 / 10,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am highly aware.,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am highly aware,-- / 0,,Yes,0.00 / 1,,I am highly aware,-- / 0,,Yes,0.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,0.00 / 1,,"Yes, because it is fake.",-- / 0,,"Politics, education and privacy.",-- / 0,,"Yes. Unless related to private matters and breaches privacy, it should be ok.",-- / 0,,Bettter use of creativity.,-- / 0,,"Privacy invasion, fake profiles.",-- / 0,
7.00 / 10,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,"Yes , deepfake technology must be regulated. Reasons are ethics , misuse , impersonation and so on.",-- / 0,,It can be ethically used  in cases like a voice actor who is dead/unavailable etc. ,-- / 0,,"Yes, the line between ethical and unethical is blurred",-- / 0,,"educational purposes, voice acting , image editing etc ",-- / 0,,"misuse , impersonation ",-- / 0,
7.00 / 10,I am moderately aware.,-- / 0,,No,0.00 / 1,,i am not aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,yes bcz we should know what is real and what is fake,-- / 0,,all,-- / 0,,i don't know,-- / 0,,enntertainment,-- / 0,,"crime,abusing",-- / 0,
6.00 / 10,I am moderately aware.,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,Yes,0.00 / 1,,I am not aware,-- / 0,,Yes,0.00 / 1,,Yes because there can be illegal use of deepfake technology,-- / 0,,"education for blinds, entertainment with lower budget",-- / 0,,Yes it can be a really helpful tool within limits. It should be restricted within the societal limits and should not involve censored content,-- / 0,,Advantages can be easier reach and production at lower costs,-- / 0,,"It  might involve some content which might be abusive, sensitive or illegal which might harm people and their emotions ",-- / 0,
8.00 / 10,I am moderately aware.,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,yes it should be regulated by the govt because it is clearly a breach of privacy and can cause serious privacy issues,-- / 0,,deepfake technology can be used in entertainment and education,-- / 0,,yes this can be very useful,-- / 0,,it could be used for educational purposes.,-- / 0,,breach of privacy,-- / 0,
7.00 / 10,I am moderately aware.,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,it should not be targeted to personal uses and should have the consent of any content before using anyone.,-- / 0,,education can adopt such technologies so as to make students understand concepts in a better way.,-- / 0,,yes definitely it can use this technology. ,-- / 0,,educational purposes,-- / 0,,"targeting particular nations, blaming with fake clips etc",-- / 0,
8.00 / 10,I am highly aware.,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,Yes because it disturbs the privacy of an individual,-- / 0,,For entertainment by the real man's permission and for education,-- / 0,,"Yes,till the individual person is not concerned",-- / 0,,Education for students by AI ,-- / 0,,Fake nudity revealed of individuals in public,-- / 0,
